term,pos,comment,is_case_sensitive,en,comment_en
གསེར་ གྱི་ རི་བོ,,person-Kāñcanaparvata,yes,Kāñcanaparvata,"\nA buddha in the distant past.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
གསེར་ གྱི་ རྒྱན་ ལྟར་ མཚན་ རབ་ཏུ་ རྒྱས་པ་ -འི་ ལུས,,person-—,yes,Body That Expands Like a Golden Ornamented Victory Banner,"\nA bodhisattva present in the Buddha’s assembly.\nToh 180, Dharmachakra Translation Committee,v 1.1.3"
གསེར་ གྱི་ རྒྱལ་མཚན,,person-—,yes,Golden Banner,"\nKing and sage; a former incarnation of the Buddha.\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
གསེར་ གྱི་ རྩིག་པ,,place-—,yes,Golden Walls,"\nAn island in the eastern sea beyond Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གསེར་ གྱི་ ཤིང་ ཏ་ལ་ རབ་ཏུ་ བརྒྱན་པ,,place-—,yes,Adorned with Golden Palmyra Trees,"\nName of the world system of the thus-gone one Glory of the Exalted King of Palmyra Trees.\nToh 266, Dharmachakra Translation Committee,v 1.0.15"
གསེར་ གྱི་ ས་གཞི་ དང་ ལྡན་པ,,place-—,yes,Golden Ground,"\nAn island in the vicinity of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གསེར་ གྱི་ སྙིང་པོ,,person-Su­varṇa­garbha,yes,Su­varṇa­garbha,"\nA great bodhisattva.\nToh 231, Dharmachakra Translation Committee,v 1.30.12"
གསེར་ གྱི་ སྤྲིན་ སྒྲོན་མ་ -འི་ རྒྱལ་མཚན,,place-Kanaka­megha­pradīpa­dhvajā,yes,Kanaka­megha­pradīpa­dhvajā,"\nA buddha realm in the east.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
གསེར་ གླིང,,place-Suvarṇadvīpa,yes,Suvarṇadvīpa,"\nHome of King Suvarṇapati who figures in a prophecy made by Śāriputra and Maudgalyāyana’s teacher Sañjayin that convinces them of their teacher’s prescience, which in turn gives them conviction to seek out the Buddha as Sañjayin advised they should.\nToh 1-1, Robert Miller and team,v 1.35.7\nA region of Southeast Asia visited by Indians.\nToh 287, Dharmachakra Translation Committee,v 1.0.11\nOne of the two auxiliary melāpakas.\nToh 381, Dharmachakra Translation Committee.,v 1.11.14"
གསེར་ཅན,,place-—,yes,Endowed with Gold,"\nA buddha realm.\nToh 101, Dharmachakra Translation Committee,v 1.2.15Golden\nName of the world system of the thus-gone one Infinite Purity.\nToh 266, Dharmachakra Translation Committee,v 1.0.15"
གསེར་ཐུབ,,person-Kanakamuni,yes,Kanakamuni,"\nOne of the six buddhas who preceded Śākyamuni in this Fortunate Eon.\nToh 1-1, Robert Miller and team,v 1.35.7\nThe second buddha of the Fortunate Eon.\nToh 138, Dharmachakra Translation Committee,v 1.0.14\nName of a former buddha usually counted as the second of the first four buddhas of the present Good Eon, the other three being Krakucchanda, Kāśyapa, and Śākyamuni.\nToh 147, Anne Burchardi,v 1.2.18\nA buddha in the past.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6\n“Golden Sage.”\nToh 186, Buddhavacana Translation Group (Vienna),v 1.33.15\nThe fifth of the “seven previous buddhas.”\nToh 267, Sakya Pandita Translation Group (Tsechen Kunchab Ling Division),v 1.35.8\nFifth of the seven tathāgatas/buddhas. Identified in other texts as the second buddha to appear in the present eon.\nToh 270, Dharmachakra Translation Committee,v 1.2.12\nThe name of a previous buddha.\nToh 287, Dharmachakra Translation Committee,v 1.0.11\nName of a buddha who preceded Śākyamuni, usually counted as the second buddha of the current fortunate eon, Śākyamuni being the fourth.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22Bakagrīvin\nOne of the eight tathāgatas.\nToh 543, Dharmachakra Translation Committee,v 1.21.16\nOne of the tathāgatas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16Kanaka\nSee “Kanakamuni.”\nToh 558, Dharmachakra Translation Committee,v 1.5.16\nFifth of the seven buddhas of the past, and second in this kalpa. Also rendered “Kanaka.”\nToh 558, Dharmachakra Translation Committee,v 1.5.16\nThe fifth of the seven buddhas, with Śākyamuni as the seventh. The second buddha in this Bhadraka eon that we are in. In the White Lotus of Compassion Sūtra, Buddha Ratnagarbha specifically prophesies that the third of Ratnagarbha’s thousand vedapāṭhaka pupils will be this buddha. He also earlier prophesies that his fifteenth brother will be a buddha who has that name.\nToh 674, Peter Alan Roberts and Emily Bower,v 1.1.3\nThe fifth of the seven buddhas, with Śākyamuni as the seventh. The second buddha in this Bhadraka eon that we are in. In the White Lotus of Compassion Sūtra, Buddha Ratnagarbha specifically prophesies that the third of Ratnagarbha’s thousand vedapāṭhaka pupils will be this buddha. He also earlier prophesies that his fifteenth brother will be a buddha who has that name.\nToh 675, Peter Alan Roberts and Emily Bower,v 1.1.2\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3"
གསེར་ དང་ ལྡན་པ,,place-—,yes,Endowed with Gold,"\nA forest on Tamer of Deer Enemies.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གསེར་ དུ་ སྣང་བ,,place-—,yes,Golden,"\nA world system.\nToh 124, Dharmachakra Translation Committee.,v 1.1.11Suvarṇāvabhāsa\nA peacock who was the Buddha in a former life.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6"
གསེར་ ཕུག་ གི་ ཁང་པ,,place-Tapanīyagṛha,yes,House of Refined Gold,"\nA realm in the Heaven of the Thirty-Three.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གསེར་ ཕྲེང,,place-—,yes,Golden Garland,"\nForest on the third asura level, Excellent Abode.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གསེར་ བདག,,person-Suvarṇapati,yes,Suvarṇapati,"\nA king of Suvarṇadvīpa who figures in a prophecy made by the teacher Sañjayin that convinces Śāriputra and Maudgalyāyana of his prescience. This in turn gives them conviction to seek out the Buddha as Sañjayin advised they should.\nToh 1-1, Robert Miller and team,v 1.35.7"
གསེར་ བཟང་ དྲི་མེད་ རིན་ཆེན་ སྣང་ བརྟུལ་ཞུགས་ གྲུབ་པ,,person-*Suvarṇa­bhadra­vimala­ratna­prabhā­savrata­siddhi,yes,Suvarṇa­bhadra­vimala­ratna­prabhā­savrata­siddhi,"\nThe thus-gone one residing in the buddhafield Heaped with Jewels and Full of Perfume.\nToh 503, The Dharmachakra Translation Committee,v 1.0.3"
གསེར་ བཟང་པོ་ དང་ ནམ་མཁའ་ ངེས་པར་ སྒྲོགས་པ་ བཀོད་པ་ -འི་ འོད,,person-—,yes,Array of Light Constantly Proclaiming Pure Gold and Space,"\nThe name of a buddha in the above direction.\nToh 78, Dharmachakra Translation Committee,v 1.0.8"
གསེར་ བཟང་པོ་ རྣམ་པ་ -ར་ དག་པ་ -འི་ འོད,,person-Śubha­kanaka­viśuddhi­prabha,yes,Śubha­kanaka­viśuddhi­prabha,"\nNone\nToh 127, Peter Alan Roberts,v 1.45.16"
གསེར་ བཟང་པོ་ རྣམ་པ་ -ར་ བསགས་པ་ -འི་ འོད་ ཀྱི་ གཟི་བརྗིད་ ཀྱི་ འོད་ཟེར,,person-Śubha­kanaka­nicita­prabhā­tejoraśmi,yes,Śubha­kanaka­nicita­prabhā­tejoraśmi,"\nA bodhisattva mahāsattva present in the Buddha’s assembly. His name means, “Brilliant Light Rays of the Collection of Fine Gold.”\nToh 147, Anne Burchardi,v 1.2.18"
གསེར་ བཟང་ ཞིང་ དྲི་མ་ མེད་པ་ -འི་ དབྱིག་ གིས་ སྤྲས་པ་ -འི་ གཟི་བརྗིད་ མཛེས་པ་ -འི་ སྙིང་པོ,,person-Suvarṇa­bhadra­vimala­vasucitra­tejolalita­garbha,yes,Suvarṇa­bhadra­vimala­vasucitra­tejolalita­garbha,"\nA bodhisattva mahāsattva.\nToh 44-31, Peter Alan Roberts,v 1.0.1"
གསེར་ བཟངས་ འོད,,person-—,yes,Pure Golden Light,"\nName of a buddha of the past.\nToh 198, Dharmachakra Translation Committee.,v 1.0.3"
གསེར་ མགྲིན,,person-—,yes,Golden Throat,"\nA nāga king.\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
གསེར་མཆོག་ འོད་ དཔལ,,person-Suvarṇottama­prabhā­śrī,yes,Suvarṇottama­prabhā­śrī,"\nThe name of a bodhisattva. “Glorious Golden Light.”\nToh 184, Dharmachakra Translation Committee,v 1.1.5Glorious Supremely Golden Light\nThe name of a buddha in the southwestern direction.\nToh 78, Dharmachakra Translation Committee,v 1.0.8"
གསེར་མཆོག་ སྣང་བ,,person-Suvarṇottamaprabhāsā,yes,Suvarṇottamaprabhāsā,"\nOne of King Bimbisāra’s daughters.\nToh 131, Dharmachakra Translation Committee.,v 1.5.15"
གསེར་མདོག,,person-—,yes,Golden Color,"\nName of a king who was the previous incarnation of the bodhisattva Maitreya.\nToh 198, Dharmachakra Translation Committee.,v 1.0.3Hemavarṇa\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3"
གསེར་མདོག་ གཟི་བརྗིད་ དྲི་མ་ མེད་པ་ རྣམ་པ་ -ར་ དག་པ,,person-Kanakārciḥ­śuddha­vimala­tejas,yes,Kanakārci­śuddha­vimala­tejas,"\nA bodhisattva present in the Buddha’s assembly.\nToh 180, Dharmachakra Translation Committee,v 1.1.3"
གསེར་མདོག་ མེ་ཏོག,,place-Svarṇa­puṣpa­prabhava,yes,Svarṇa­puṣpa­prabhava,"\nA park in another world in the distant past. The name as given in verse. In prose it is called Suvarṇa­puṣpābha­maṇḍala.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
གསེར་འདབ,,term-garuḍa,yes,Garuḍa,"\nA class of bird deities.\nToh 846, The Dharmachakra Translation Committee,v 1.1.14\nA class of bird deities.\nToh 846a, Dharmachakra Translation Committee,v 1.1.10"
གསེར་ འབབ,,place-—,yes,Stream of Gold,"\nA river in Enjoyment of Scents.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གསེར་འབར་བ,,place-—,yes,Blazing Gold,"\nA mountain in the eastern sea beyond Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གསེར་འོད་ གཟི་བརྗིད་ འཇིགས་ བྲལ་ རྒྱལ་པོ,,person-—,yes,Fearless King Majestic Golden Radiance,"\nThe name of a tathāgata presiding over a buddhafield to at the zenith above the buddhafield Full of Pearls.\nToh 273, The Dharmachakra Translation Committee,v 1.2.13"
གསེར་འོད་ དམ་པ,,person-—,yes,Sublime Golden Light,"\nName of the thus-gone one of the world system Replete.\nToh 266, Dharmachakra Translation Committee,v 1.0.15"
གསེར་འོད་ སེང་གེ་ -འི་ རྣམ་པ་ -ར་ རོལ་པ་ -འི་ རྒྱལ་པོ,,person-—,yes,King of the Golden-Hued Lion’s Play,"\nNone\nToh 130, Dharmachakra Translation Committee,v 1.26.7"
གསེར་འོད,,place-—,yes,Golden Light,"\nIn a story the Buddha tells, this was the name of our continent countless eons ago.\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
གསེར་ ཡོད་པ,,place-Kanaka­vatī,yes,Kanaka­vatī,"\nThe realm of the Buddha Śantābha.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
གསེར་ རིན་པོ་ཆེ་ -འི་ རི་བོ་ གཟི་བརྗིད་ བཟང་པོ,,person-Kanaka­maṇi­parvata­tejobhadra,yes,Kanaka­maṇi­parvata­tejobhadra,"\nOne of countless buddhas in a past kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
གསེར་ རིན་པོ་ཆེ་ -འི་ རི་ སྤོ་ རྣམ་པ་ -ར་ སྣང་བ,,place-Maṇi­kanaka­parvata­śikhara­vairocana,yes,Maṇi­kanaka­parvata­śikhara­vairocana,"\nA vast array of many masses of world realms in the distant past.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
གསེར་ རིན་པོ་ཆེ་ -འི་ རི་ -འི་ དབྱངས,,person-Kanaka­maṇi­parvata­ghoṣa,yes,Kanaka­maṇi­parvata­ghoṣa,"\nOne of countless buddhas in a past kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
གསེར་ ལ་སོགས་པ་ -འི་ ལྕགས་རི་ ལྔ་ -ས་ བསྐོར་བ,,place-—,yes,Five Fences of Gold and Other Materials,"\nAn island in the vicinity of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གསེར་ ལྟ་བུ,,term-kanakābha,yes,Golden,"\nNone\nToh 11, Padmakara Translation Group,v 1.39.3"
གསེར་ ལྟར་ དྲི་མ་ མེད་པ་ -འི་ འོད་ ཀྱི་ རྒྱན,,place-Kanaka­vimala­prabhā­vyūha,yes,Kanaka­vimala­prabhā­vyūha,"\nA world realm in the eastern direction. Also called Kanaka­vimala­prabhā.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
གསེར་ ལྟར་ དྲི་མ་ མེད་པ་ -འི་ འོད,,place-Kanaka­vimala­prabhā,yes,Kanaka­vimala­prabhā,"\nA world realm in the eastern direction. Also called Kanaka­vimala­prabhā­vyūha.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
གསེར་ ལྟར་ སྣང་བ,,person-—,yes,Shining Like Gold,"\nName of the thus-gone one of the world system Endowed with Moon.\nToh 266, Dharmachakra Translation Committee,v 1.0.15"
གསེར་ ལྡན,,place-Hiraṇyavatī,yes,Hiraṇyavatī River,"\nThe name of a river.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22Hiraṇyavatī\nName of a sage, a former incarnation of the Buddha while he was a practicing bodhisattva.\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
གསེར་ སྣང་བ་ -ས་ རྣམ་པ་ -ར་ གནོན་པ,,person-—,yes,Overwhelming with Golden Light,"\nName of the thus-gone one of the world system Guru of the Moon.\nToh 266, Dharmachakra Translation Committee,v 1.0.15"
གསེར་ སྦྱིན་ མ,,person-Hiraṇyadā,yes,Hiraṇyadā,"\nNone\nToh 193, Sakya Pandita Translation Group (International Buddhist Academy Division),v 2.20.11"
གསེར,,place-Suvarṇa,yes,Suvarṇa,"\nA pore on Avalokiteśvara’s body.\nToh 116, Peter Alan Roberts with Tulku Yeshi,v 2.47.19Kanaka\nOne of the pratyeka­buddhas attending the delivery of the MMK. Possibly also a shortened form of the name of the tathāgata Kanakamuni.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
གསོ་བ་ -འི་ མཐའ,,place-Bharukaccha,yes,Bharukaccha,"\nNone\nToh 558, Dharmachakra Translation Committee,v 1.5.16"
གསོ་མ་ ཅན,,person-Śāṇavāsa; Śāṇavāsika,yes,Śāṇavāsa,"\nA certain householder who was fourth among those in the apostolic succession that carried on the Buddha’s teachings after his parinirvāṇa.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
གསོ་སྦྱོང་ འཕགས,,person-Upoṣadha,yes,Upoṣadha,"\nA king, the father of King Māndhātṛ.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6"
གསོད་པ་ -ར་ བྱེད་ མ,,person-Māraṇī,yes,Māraṇī,"\nA deity personifying the true nature of the element of water.\nToh 381, Dharmachakra Translation Committee.,v 1.11.14"
གསོད་ མེད,,place-Nirmarmara,yes,Impossible to Die,"\nOne of sixteen realms that surround the Howling Hell. Also known as No Death.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གསོལ་བ་ བྱེད་པ,,person-—,yes,Respecting,"\nA buddha.\nToh 124, Dharmachakra Translation Committee.,v 1.1.11"
གུ་ལང,,person-Paśupati,yes,Paśupati,"\n“Lord of All Animals,” an epithet of the god Śiva.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22Rudra\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3Śiva\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3"
གེལ་པོ,,person-—,yes,Fleshy,"\nChild of householders in Śrāvasti, he was born “corpulent, full-fledged in skin, flesh, and blood.” He leapt from a boulder at the sight of the Buddha but was unharmed due to the Buddha’s blessing. Having then heard the Dharma from the Buddha, he went forth and manifested arhatship.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
གོ་ S་ -ཨིར་ S་ -ཨ,,term-gośīrṣa; gauśīrṣa,yes,Gośīrṣa,"\nA type of sandalwood that is reddish in color and has medicinal properties. It is said to have the finest fragrance of all sandalwood. In the Mahāvyutpatti it is translated as sa mchog, which means “supreme earth.” Later translations translate gośirṣa literally as “ox-head,” which is said to refer to the shape or name of the mountain where it grows. Appears to be red sandalwood, though that appears separately in the list of incenses.\nToh 127, Peter Alan Roberts,v 1.45.16"
གོ་ཆ་ བཟང་པོ,,person-—,yes,Excellent Armor,"\nA buddha.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
གོ་ཆ་ མཐའ་ ཡས,,person-—,yes,Infinite Armor,"\nA great bodhisattva.\nToh 101, Dharmachakra Translation Committee,v 1.2.15\nA buddha.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
གོ་ཆ་ སྲ་བ,,person-—,yes,Solid Armor,"\nA bodhisattva in the retinue of the Buddha Śākyamuni.\nToh 152, Dharmachakra Translation Committee,v 1.5.10"
གོ་ཆ་ -འི་ ཚལ,,place-—,yes,Forest of Armor,"\nWhere the gods receive their armor before battle.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གཽ་ ཏ་ མ་ ནག་པོ,,person-Kṛṣṇagautama,yes,Kṛṣṇagautama,"\nOne of the sages (ṛṣi).\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
གཽ་ ཏ་ མ,,person-Gautama,yes,Gautama,"\nA nāga king.\nToh 101, Dharmachakra Translation Committee,v 1.2.15\nThe Buddha Śākyamuni.\nToh 101, Dharmachakra Translation Committee,v 1.2.15\nOne of the seven great rishis of ancient India. Author of some of the vedas. His Dharmasūtra specified renunciation as yellow robes, shaved head, and being called a bhikṣu. Buddha Śākyamuni was his descendant.\nToh 127, Peter Alan Roberts,v 1.45.16\nOne of the names of the Buddha, especially during his earlier life as an ascetic.\nToh 138, Dharmachakra Translation Committee,v 1.0.14\nFamily name of the Buddha Śākyamuni.\nToh 157, Dharmachakra Translation Committee.,v 1.1.9\n(1) Family name of the Buddha Śākyamuni. (2) A nāga king.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6\nRefers to Siddhārtha Gautama, the name of the historical Buddha.\nToh 246, UCSB Buddhist Studies Translation Group–2,v 0.0.20\nAppellation for the Buddha, primarily used by non-Buddhists.\nToh 287, Dharmachakra Translation Committee,v 1.0.11\nThe family name of the historical Buddha Śākyamuni.\nToh 339, Bruno Galasek-Hul with Lama Kunga Thartse Rinpoche,v 1.0.9\nSiddhārtha Gautama is the most common given name used for Buddha Śākyamuni prior to his enlightnement.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22\nOne of the sages (ṛṣi).\nToh 543, Dharmachakra Translation Committee,v 1.21.16\nThe clan name (gotra) of the Buddha.\nToh 813, Dharmachakra Translation Committee.,v 1.1.17\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3\nName of a nāga king.\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
གོ་ཏ་མ,,person-Gautama,yes,Gautama,"\nThe Buddha’s given name, Gautama Siddhartha.\nToh 103, Blazing Wisdom Translation Group,v 1.0.11"
གཽ་ ཏ་ མ་ -འི་ སྲས,,term- ,yes,Child of Gautama,"\n“Gautama” refers to Siddhārtha Gautama, the name of the historical Buddha. “A child of Gautama” denotes one of his followers.\nToh 246, UCSB Buddhist Studies Translation Group–2,v 0.0.20"
གཽ་ཏམ་ ནག་པོ,,person-Kṛṣṇagautama,yes,Kṛṣṇagautama,"\nA nāga king.\nToh 127, Peter Alan Roberts,v 1.45.16"
གོ་ དཱ་བ་ རི,,place-Godāvarī,yes,Godāvarī,"\nOne of the four auxiliary pīṭhas.\nToh 381, Dharmachakra Translation Committee.,v 1.11.14"
གོ་ དཱ་བ་ རཱི,,place-Godāvarī,yes,Godāvarī,"\nA river in the south of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གོ་ ད་ རོ,,person-Godari,yes,Godari,"\nOne of the mantra deities closely related to the uṣṇīṣa kings, or perhaps one of them.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
གོ་ ཌཱ,,place-Gauḍa,yes,Gauḍa,"\nA part of Bengal bordering Orissa, also the name of the dynasty that ruled there.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
གོ་ ན་ ཀཱི,,place-Gonakī,yes,Gonakī,"\nA location in Jambudvīpa renowned for soft cotton.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གོ་པ,,person-Gopā,yes,Gopā,"\nA wife of Śākyamuni and the kalyāṇamitra of chapter 43.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
གོ་ པཱ,,person-Gopā,yes,Gopā,"\nThe name of Buddha’s wife as found in some texts, including the Lalitavistara; the name of Buddha’s tantric consort.\nToh 431, Dharmachakra Translation Committee,v 2.28.10"
གོ་མ་ ས་ ལ་ གན་ ད,,place-—,yes,Gomasalaganda,"\nA sacred stūpa in Khotan, said to have been blessed by several past buddhas.\nToh 357, Dharmachakra Translation Committee,v 1.0.14"
གོ་མ,,place-—,yes,Goma,"\nA river in Khotan.\nToh 357, Dharmachakra Translation Committee,v 1.0.14"
གོ་འཕང་ དམ་པ་ དྲི་མ་ མེད་པ་ ཐོབ་པ,,person-Parama­vimala­paṭṭa­dhārin,yes,Parama­vimala­paṭṭa­dhārin,"\nA bodhisattva present in the Buddha’s assembly.\nToh 180, Dharmachakra Translation Committee,v 1.1.3"
གཽ་ རཱི,,person-Gaurī,yes,Gaurī,"\nNone\nToh 431, Dharmachakra Translation Committee,v 2.28.10"
གོ་ ཤིཪྵ་པ,,place-Gośīrṣaka,yes,Gośīrṣaka,"\nA minor mountain on Lofty Peak.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གོང་ ན་ མེད་པ་ -འི་ གཟི་བརྗིད,,person-—,yes,Unsurpassable Splendor,"\nA great bodhisattva.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
གོང་ ན་ མེད་པ་ -འི་ འོད་ཟེར,,person-—,yes,Unsurpassable Light Rays,"\nA buddha.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
གོང་མ་ ལས་ ཀྱང་ གོང་མ་ -འི་ ང,,term-abhimāna?,yes,Conceiving of oneself as being superior to those who are supreme,"\nNone\nToh 339, Bruno Galasek-Hul with Lama Kunga Thartse Rinpoche,v 1.0.9"
གོང་མ་ ལས་ ལྷག་པ་ -འི་ ང,,term-mānātimānaḥ,yes,Conceiving of oneself as being greater than those who are superior,"\nNone\nToh 339, Bruno Galasek-Hul with Lama Kunga Thartse Rinpoche,v 1.0.9"
གོམ་པ་ མཐའ་ ཡས་ རྣམ་པ་ -ར་ གནོན་པ,,person-—,yes,Subduer with Infinite Steps,"\nA buddha.\nToh 101, Dharmachakra Translation Committee,v 1.2.15\nA great bodhisattva.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
གོམ་པ་ -ས་ རྣམ་པ་ -ར་ གནོན་པ,,person-—,yes,Subjugating Steps,"\nA buddha.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
གོའུ་ ཏ་ མ,,person-Gautama,yes,Gautama,"\nNone\nToh 134, Dharmachakra Translation Committee,v 2.1.2"
གོས་ ཀ་ ཙ་ ལིན་ ད་ལྟར་ རེག་ ན་ འཇམ་པ,,place-—,yes,Smooth as Kācilindika Fabric,"\nName of the world system of the thus-gone one Astride Mount Sumeru. The Mahāvyutpatti has kācalindikam for kA tsa lin da’i gos, but Edgerton (175) calls this and other forms of this term a corruption of kācilindika, which he rather nebulously defines as “n. of some kind of very soft textile stuff.”\nToh 266, Dharmachakra Translation Committee,v 1.0.15"
གོས་ཅན,,person-Ambara,yes,Ambara,"\nOne of the sages (ṛṣi).\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
གོས་ ཆོས་ གྲུབ,,person-—,yes,Gö Chödrup,"\nA Sino-Tibetan translator during the ninth century; the translator of The Armor Array.\nToh 51, Dharmachakra Translation Committee,v 1.0.1"
གོས་ དཀར་མོ,,person-Pāṇḍara­vāsinī,yes,Pāṇḍara­vāsinī,"\nNone\nToh 384, Dharmachakra Translation Committee,v 2.20.8"
གོས་ དྲི,,place-Gandhakambala,yes,Blanket of Smell,"\nOne of sixteen realms that surround the Hell of Ultimate Torment.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
གོས་པ་ མེད་པ,,person-A­nupa­lipta,yes,A­nupa­lipta,"\nA great bodhisattva.\nToh 231, Dharmachakra Translation Committee,v 1.30.12"
གོས་ སྦྱིན,,person-Vāsava,yes,Vāsava,"\n(1) A king at the time of the Buddha Ratnaśikhin (gos sbyin). (2) A god (nor lha).\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6"
གྱ་ནོམ་ སྣང,,place-Sudṛśa,yes,Sublime Heaven,"\nThe fifteenth heaven of the form realm.\nToh 129, Dharmachakra Translation Committee,v 1.3.21Exquisite Appearance\nOne of the five pure abodes.\nToh 185, Karen Liljenberg and Ulrich Pagel,v 1.0.8\nThe third of five realms associated with the fourth concentration into which only noble beings are born.\nToh 287, Dharmachakra Translation Committee,v 1.0.11Heaven of Sublime Vision\nOne of the heavens of Buddhist cosmology belonging to the form realm. The fourth-highest heaven of the Pure Abodes. Non-returners and those who have mastered the fourth meditative absorption are reborn there. See also note https://read.84000.co/translation/UT22084-072-007.html#UT22084-072-007-280.\nToh 307, Bruno Galasek with Lama Kunga Thartse Rinpoche,v 1.0.7\nNone\nToh 70, Dharmachakra Translation Committee,v 1.1.11\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3"
གྱ་ནོམ་ སྣང་བ,,place-Su­dṛśa,yes,Su­dṛśa,"\nThird of the pure abodes, meaning “attractive.”\nToh 11, Padmakara Translation Group,v 1.39.3Sublime Vision\nOne of the heavens of Buddhist cosmology, third of the five so-called pure realms of the form realm.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22Sublime Heaven\nNone\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
གྱད་ ཀྱི་ བུ,,person-Mallaputra,yes,Mallaputra,"\nAnother name for Dravya Mallaputra, a disciple of the Buddha.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6\nOne of the śrāvakas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
གྱད་ བུ་ནོར,,person-Dravya Mallaputra,yes,Dravya Mallaputra,"\nA disciple of the Buddha.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6Vasumallaputra\nA monk (bhikṣu) and disciple of the Buddha.\nToh 185, Karen Liljenberg and Ulrich Pagel,v 1.0.8Vasumallaputra\nNone\nToh 563, Dharmachakra Translation Committee.,v 1.4.7"
གྱད,,place-Malla,yes,Malla,"\nA country.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6Mallas\nA tribe or clan.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6\nA kingdom of ancient India situated to the North of Magadha.\nToh 300, Sakya Pandita Translation Group (International Buddhist Academy Division),v 2.15.7\nName for a country and the people who reside there.\nToh 543, Dharmachakra Translation Committee,v 1.21.16\nNone\nToh 558, Dharmachakra Translation Committee,v 1.5.16"
